,User,Score
163,happypeter,3.7333333333333334
164,yeasy,180.7
165,mafintosh,62.766666666666666
166,vczh,346.8333333333333
167,Draveness,426.5
168,ded,437.03846153846155
169,vladikoff,2.7333333333333334
170,bnoordhuis,3.466666666666667
171,jendewalt,196.66666666666666
172,jessfraz,28.133333333333333
173,indutny,42.63333333333333
174,olivergierke,5.166666666666667
175,i5ting,2.8333333333333335
176,laanwj,11.233333333333333
177,drakeet,258.39130434782606
178,thejameskyle,0.0
179,ahmetb,4.366666666666666
180,sdiehl,18.133333333333333
181,jaywcjlove,952.2333333333333
182,gitster,65.11111111111111
183,djspiewak,29.333333333333332
184,evilsocket,200.0
185,mariotaku,5.333333333333333
186,shama,6.733333333333333
187,CamDavidsonPilon,586.5333333333333
188,dsyer,1.2333333333333334
189,winterbe,370.1333333333333
190,dennybritz,383.73333333333335
191,arun-gupta,4.466666666666667
192,maryrosecook,12.1
193,killme2008,31.766666666666666
194,IanLunn,1401.2777777777778
195,ruanyf,1374.8666666666666
196,binux,855.1
197,nfultz,1.3666666666666667
198,leah,128.94736842105263
199,suissa,2.0
200,anishathalye,166.7
201,pkrumins,20.366666666666667
202,isaacs,15.7
203,staltz,48.166666666666664
204,KittenYang,103.6
205,leebyron,27.8
206,fengmk2,1.2333333333333334
207,passy,70.93333333333334
208,gorhill,850.125
209,phuslu,5.266666666666667
210,mrmrs,301.0
211,siddontang,118.73333333333333
212,daylerees,398.4
213,weavejester,70.33333333333333
214,zce,5.0
215,philsturgeon,103.1
216,oldratlee,26.333333333333332
217,josephmisiti,1199.0666666666666
218,atian25,40.43333333333333
219,ebidel,126.03333333333333
220,overtrue,220.36666666666667
221,connors,643.7142857142857
222,eliben,139.93333333333334
223,Seldaek,7.933333333333334
224,joyeecheung,5.3
225,bailicangdu,3498.153846153846
226,nikic,159.5
227,codahale,59.666666666666664
228,amitshekhariitbhu,456.93333333333334
229,rakyll,204.03333333333333
230,junyanz,1371.0714285714287
231,simurai,23.2
232,nicolasgramlich,137.33333333333334
233,shiffman,35.166666666666664
234,purcell,6.6
235,evanphx,45.86666666666667
236,ericelliott,80.13333333333334
237,matyhtf,192.4
238,StephenGrider,77.13333333333334
239,AdamBien,32.4
240,rtomayko,345.1666666666667
241,tomchristie,35.766666666666666
242,be5invis,225.73333333333332
243,amueller,12.3
244,dead-horse,7.733333333333333
245,remy,34.3
246,Unknwon,401.06666666666666
247,jiyinyiyong,0.6
248,Shougo,385.8666666666667
249,arunoda,1.8666666666666667
250,benoitc,22.6
251,ask,20.1
252,JohnSundell,218.23333333333332
253,Raynos,9.566666666666666
254,samuelclay,197.03703703703704
255,unicodeveloper,106.7
